  epoch    train loss    valid loss    train/val    valid acc  dur
    161       0.13572       0.11127      1.21976      0.96565  96.16s
    162       0.13636       0.10912      1.24965      0.96608  97.34s
    163       0.13576       0.10724      1.26588      0.96710  99.33s
    164       0.13698       0.11235      1.21924      0.96615  99.01s
    165       0.13431       0.11009      1.22004      0.96580  98.08s
    166       0.13245       0.10850      1.22071      0.96710  98.98s
    167       0.13491       0.11059      1.21984      0.96655  97.35s
    168       0.13604       0.11049      1.23115      0.96590  96.56s
    169       0.13465       0.10636      1.26597      0.96718  96.01s
    170       0.13531       0.11323      1.19502      0.96541  96.08s
    171       0.13342       0.11020      1.21080      0.96608  96.06s
    172       0.13297       0.11221      1.18496      0.96548  96.17s
    173       0.13324       0.11008      1.21033      0.96665  96.05s
    174       0.13198       0.10863      1.21491      0.96698  96.08s
    175       0.13285       0.10619      1.25104      0.96808  95.97s
    176       0.13189       0.10856      1.21492      0.96703  96.13s
    177       0.13270       0.10551      1.25771      0.96775  96.04s
    178       0.13240       0.10849      1.22039      0.96710  96.10s
    179       0.13015       0.11076      1.17508      0.96675  96.12s
    180       0.13187       0.11064      1.19186      0.96630  96.11s
    181       0.13093       0.10584      1.23711      0.96798  96.05s
    182       0.13065       0.10764      1.21377      0.96765  96.09s
    183       0.13191       0.11099      1.18849      0.96605  96.04s
    184       0.13104       0.10946      1.19722      0.96775  96.07s
    185       0.13101       0.10798      1.21328      0.96740  96.14s
    186       0.12996       0.11153      1.16522      0.96665  96.40s
    187       0.12893       0.10821      1.19157      0.96773  96.67s
    188       0.12887       0.11122      1.15870      0.96625  97.04s
    189       0.12809       0.11041      1.16012      0.96760  96.40s
    190       0.12788       0.10998      1.16276      0.96665  97.04s
    191       0.12995       0.10776      1.20592      0.96788  96.97s
    192       0.12778       0.11210      1.13989      0.96563  97.06s
    193       0.13044       0.10937      1.19259      0.96675  96.73s
    194       0.12773       0.10911      1.17067      0.96680  96.16s
    195       0.12807       0.10755      1.19074      0.96688  95.98s
    196       0.12803       0.10806      1.18484      0.96680  96.04s
    197       0.13077       0.10855      1.20464      0.96658  95.97s
    198       0.12692       0.10665      1.19007      0.96780  96.00s
    199       0.12692       0.11157      1.13754      0.96645  96.04s
    200       0.12967       0.10561      1.22782      0.96728  96.11s

